timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at,ner_state_actors,llm_enhanced
2026-06-03T02:46:15.853817,Nagaland Post,"Assam: AASU leader killed, sister injured in attack",https://nagalandpost.com/assam-aasu-leader-killed-sister-injured-in-attack/,"['injured', 'killed']",ne,2026-06-02,"NALBARI (ASSAM), JUN 1 (PTI): A local leader of the All Assam Students’ Union (AASU) was killed and his cousin sister critically injured in an attack in Nalbari district, police said on Monday.
The incident took place in Gangapur village near Jagara on Sunday evening when they were returning home from Nalbari town after purchasing some books.
The AASU leader, identified as Madhurjya Barman, suffered cuts on his head and neck, and he was immediately brought to Nalbari Medical College and Hospital, where doctors declared him dead, a police officer said.
He was an assistant secretary of Paschim Nalbari Aanchalik Satra Santha, a regional unit of the AASU.
His cousin sister has been seriously injured and is undergoing treatment at Gauhati Medical College and Hospital, he said.
“As per information, at least one person, identified as Ashik Ali alias Roj Ali, stopped the AASU leader’s scooter 300 metres from the deceased’s residence and attacked them with a machete. He is on the run and a manhunt has been launched to nab him,” the officer said.
AASU vice president Bhabajit Bezbaruah condemned the attack and demanded that the accused be brought to book immediately.
“The AASU will take out a protest rally at Nalbari town today, demanding justice for Barman. The incident has exposed the hollow state of affairs,” he added.",playwright,['Nalbari'],['Aasu'],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T14:27:34.390519,[],True
2026-06-03T13:20:49.036451,Nagaland Post,"JTCM body lifts emergency shutdown, warns of fresh stir if hostages not released...",https://nagalandpost.com/jtcm-body-lifts-emergency-shutdown-warns-of-fresh-stir-if-hostages-not-released/,['shutdown'],ne,2026-06-03,"Correspondent
IMPHAL, JUN 2: The Joint Tribes’ Council Manipur (JTCM) on Tuesday lifted the indefinite “emergency shutdown” imposed in Zeliangrong Naga-dominated areas of Manipur, hours after it came into effect.
JTCM, a joint body of the Inpui, Liangmai, Rongmei and Zeme tribes, had called the shutdown in protest against the proposed release of 14 Kuki detainees held by Naga armed groups and to press for the safe return of six Naga men allegedly abducted by Kuki militants on May 13.
In a statement issued by its media and publicity wing, JTCM announced that the shutdown across the Zeliangrongpui region had been lifted with immediate effect. While not citing any specific development behind the decision, the council thanked the people for their “unwavering solidarity, discipline and full participation” during the agitation. “Your collective resolve compelled justice to prevail,” the statement said.
At the same time, JTCM cautioned that it would continue to closely monitor developments regarding the six abducted Naga civilians and warned that it reserved the right to reimpose the shutdown or adopt further measures if they were not released safely and immediately.
Earlier in the day, normal life was disrupted across Zeliangrong-inhabited areas, particularly in Noney and Tamenglong districts, as the shutdown affected movement along the Imphal–Jiribam stretch of National Highway-37. Most vehicles stayed off the roads, while shops, banks, business establishments and fuel stations remained closed.
Bandh supporters also blocked roads in several areas. Reports said more than 250 loaded vehicles, including oil tankers, were stranded between Leingangpokpi police outpost and Jiribam along NH-37 due to the shutdown.
Meanwhile, residents of Namdilong (Naga) village in Imphal West district continued their protest demanding the safe release of six Liangmai Naga men allegedly abducted from Leilon village on May 13.
The protesters staged demonstrations along the Imphal–Dimapur stretch of National Highway-102, checking passing vehicles and disrupting traffic movement. Women from both the Zeliangrong and Meitei communities also joined the protest in support of the demand.
Protesters asserted that they would continue their agitation until the six missing individuals were safely released.",playwright,"['Jiribam', 'Tamenglong', 'Noney', 'Dimapur', 'Imphal West']","['Jtcm', 'Meitei']",[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T14:27:34.485823,[],True
2026-06-08T06:10:40.820672,Nagaland Post,Over 20 injured as protest against AR outpost turns violent in Ukhrul dist,https://nagalandpost.com/over-20-injured-as-protest-against-ar-outpost-turns-violent-in-ukhrul-dist/,"['protest', 'ukhrul']",ne,2026-06-08,"IMPHAL, JUN 7: At least 22 protesters, most of them women, were injured on Sunday after a protest against the opening of a temporary Assam Rifles outpost at Shokvao village in Manipur’s Ukhrul district turned violent.
The clash took place after days of tension between villagers and security forces over the outpost set up by the 40 Assam Rifles at New Heaven area of Shokvao village. Villagers claimed the outpost was established without the consent of the village authority and described it as “unauthorised”.
According to local sources, the protest began around 3.30 p.m. and continued till late evening. Clashes were reported from the New Heaven area of Shokvao village and Finch Corner of Shangshak village. Villagers, mostly women, reportedly tried to move towards the newly established outpost after their repeated appeals for the withdrawal of troops allegedly received no response.
Security personnel fired tear gas shells to disperse the protesters. Videos circulated on social media showed a tense confrontation between the protesters and security forces. Sounds of gunshots, reportedly fired in the air, could also be heard.
Local sources said at least 22 women were injured and taken to Ukhrul District Hospital for treatment. They also claimed that Mathotmi Kasar, president of Katho Katamnao Long, also known as the Tangkhul Students’ Union, was among those injured.
Tension had been building since June 4, when the Katho Katamnao Long, Katho Long and Katho Women Coordination Committee issued a joint statement condemning the outpost. The organisations alleged that the Assam Rifles had set it up without prior consultation or permission from the village authority.
They further claimed that the move violated village jurisdiction and undermined the authority of the local administration under the Manipur (Village Authorities in Hill Areas) Act, 1956.
On June 6, the organisations again urged the Assam Rifles to vacate the site and warned that the force would be responsible for any untoward incident arising from its continued presence.
Over 20 injured as protest against AR outpost turns violent in Ukhrul dist
Correspondent",playwright,['Ukhrul'],[],[],[],['Villager'],Civil Unrest,"{'killed': [], 'injured': ['20 injured']}",[],9.5,HIGH,Unrest,2026-06-09T14:27:34.567586,[],True
2026-06-12T21:10:44.877268,Nagaland Post,UNC calls 24-hour shutdown across Naga areas; demands removal of DyCM Nemcha,https://nagalandpost.com/unc-calls-24-hour-shutdown-across-naga-areas-demands-removal-of-dycm-nemcha/,['shutdown'],ne,2026-06-12,"DIMAPUR, JUN 10 (NPN): The United Naga Council (UNC) has strongly condemned the killing of six Naga hostages, whose remains were reportedly recovered in a mutilated and dismembered condition.
As mark of peaceful protest and to demand justice, UNC announced a 24-hour total shutdown across Naga areas from 6 a.m. on June 11 to 6 a.m. on June 12.
In a press note, UNC said the prayerful expectation of the Nagas following the release of 14 Kuki detainees on June 9 was shattered by the recovery of the six Naga hostages, who were abducted on May 13 by Leilon Vaiphei villagers and KNF(P) militants.
The council termed the incident a gross violation of human rights and disrespect for the dignity of human persons, and condemned what it described as a “sacrilegious and satanic act” against innocent Naga civilians.
UNC expressed sympathy to the bereaved families and said the incident had caused immense pain to the Nagas and shaken public confidence in the government’s ability to ensure the safety and security of innocent civilians. It further stated that the incident was a direct challenge to the collective identity and security of Nagas. The council appealed to citizens to observe the shutdown peacefully and stated that the mortal remains of the six hostages would not be received until its demands were addressed by the Manipur government and the Government of India.
Meanwhile, UNC put forth a four-point charter of demands, which called for abrogation of the Suspension of Operations (SoO) agreement with all Kuki militant groups; immediate arrest and prosecution of KNF(P) personnel involved in the abduction of 18 Naga civilians including two pastors on May 13 and subsequent cold blooded murder of six Nagas including the murder of Wilson Thanga Chiru at Joujangtek on the same day.
Further, UNC demanded the immediate arrest and prosecution of Lalboi Vaiphei, chief of Leilon Vaiphei village, along with all individuals involved in the abduction of the 18 Naga civilians.
The council also sought declaration of the Kuki National Front-President Group (KNF-P) as a terrorist organisation.
In addition, UNC demanded the immediate removal of Manipur deputy chief minister Nemcha Kipgen from office, alleging that her husband, Semtinthang alias Thangboi Kipgen, president of KNF-P, was complicit in the killing of the Naga civilians.
According to UNC, Nemcha’s removal would help restore public trust and confidence in the state government. It further claimed that her continuation in office would amount to a compromise of internal security concerns of both the state and the nation.",playwright,['Dimapur'],['Knf'],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-12T21:10:45.027666,[],
2026-06-04T13:26:46.291402,Nagaland Post,Exhibition match between Aizawl FC and Mon XI FC in Mon,https://nagalandpost.com/exhibition-match-between-aizawl-fc-and-mon-xi-fc-in-mon/,['aizawl'],ne,2026-06-04,"DIMAPUR, JUN 3 (NPN): The Mon District Football Association (MDFA) organized a special exhibition match under the theme “Football for Peace” between Aizawl FC and Mon XI FC at the Pangting Astro Turf Ground, Mon Village on June 2.
According to a DIPR report, the event drew enthusiastic participation from local football fans and marked a significant step in promoting sports as a medium for peace and unity in the region.
Addressing the gathering, joint secretary of the Nagaland Football Association (NFA), Sunep Longchar, acknowledged the Government of Nagaland for its continued efforts to strengthen the sports fraternity in the state.
He emphasized that such initiatives would foster wider peace and unity across Nagaland and beyond.
In his remarks, Deputy Commissioner of Mon, Wennyei Konyak, highlighted the importance of the theme “Football for Peace”. He stated that the exhibition match was not only about promoting football but also about reinforcing peace, unity and brotherhood through the sport in the Northeast.
He expressed gratitude to Aizawl FC, NFA and MDFA for providing the district’s football enthusiasts with the opportunity to witness and experience a new level of competitive play through the friendly encounter with Mon XI FC.",playwright,"['Dimapur', 'Mon', 'Aizawl']",[],[],[],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:34.619574,[],True
2026-06-07T17:16:40.356378,Nagaland Post,Militants trigger bomb blasts at two houses in Manipur,https://nagalandpost.com/militants-trigger-bomb-blasts-at-two-houses-in-manipur/,"['bomb blast', 'militant']",ne,2026-06-07,"IMPHAL, Jun 6: Two bombs suspected to be planted by militants exploded at the houses of two individuals in Manipur’s valley districts on Saturday. No casualty was reported in both the blasts, police said.
The first explosion took place at a house at Tentha Khunou under Khongjom police station in Thoubal district late on Friday, around 10.30 pm.
The bomb, suspected to be a grenade, exploded at the front courtyard of M Subol, the chairperson of Tentha Gram Panchayat. There was no report of any human casualty in the blast.
The second bomb went off at the house of Md Nasiruddin (38), son of late former minister Md Alauddin at Kiyamgei Muslim Leikai under Irilbung police station in Imphal East district around 1am on Saturday, the police said. No casualty was reported in the blast. However, the impact of the explosions damaged the walls of the house while shattering window panes.
Militants trigger bomb blasts at two houses in Manipur
Correspondent",playwright,['Thoubal'],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:34.764924,[],True
2026-06-12T21:11:00.030436,Nagaland Post,"NIA starts forensic probe of abduction, killings of 6 Nagas",https://nagalandpost.com/nia-starts-forensic-probe-of-abduction-killings-of-6-nagas/,['abduction'],ne,2026-06-12,"Correspondent
IMPHAL, JUN 11: The post-mortem examination of the six murdered Naga men was conducted at the mortuary of the Jawaharlal Nehru Institute of Medical Sciences (JNIMS), Imphal, on Thursday after a prolonged and difficult identification process, as the bodies were highly mutilated and in an advanced state of decomposition.
The bodies of the six missing persons, recovered during a security operation in Kangpokpi district on Wednesday, were brought to Imphal late that night. Family members identified the bodies, though the process took considerable time as the remains had been recovered separately and were severely decomposed.
Officials of the National Investigation Agency (NIA), along with state police personnel, visited the mortuary and conducted examinations as part of the investigation. The agency carried out forensic procedures and evidence collection to ascertain the circumstances surrounding the deaths.
IG Manipur Police, Ningshen Worngam, told the media that identification was challenging due to the condition and location of the recovered remains. He also informed that the case would be handed over to the NIA for further investigation.
State home minister Govindas Konthoujam, former chief minister N. Biren Singh, NPF legislators and senior police officials visited the mortuary and met the bereaved families.
Meanwhile, the situation at the JNIMS mortuary complex remained calm on Thursday, a day after clashes erupted when the bodies arrived.
Security forces had resorted to firing tear gas shells and mock bombs to disperse an agitated crowd, resulting in injuries to several individuals, including police personnel. The unrest also caused damage to hospital property and affected patients after tear gas smoke entered some wards.
In a related development, the NPF Manipur unit office at Senapati district headquarters was vandalised by an angry mob hours after the recovery of the bodies. Reports said the office was attacked amid widespread grief and outrage over the killing of the six men. The premises were left damaged as tensions continued to run high in the district.",playwright,"['Kangpokpi', 'Senapati']",[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-12T21:11:00.140445,['NIA'],
