timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at
2026-06-12T21:12:24.689092,Northeast News,Two Manipur Police personnel among four held with 6.1 kg Yaba tablets,https://nenews.in/manipur/two-manipur-police-personnel-among-four-held-with-6-1-kg-yaba-tablets/53920/,[],ne,,"Imphal: Four persons, including two personnel of the Manipur Police, were arrested in Kangpokpi district for allegedly transporting a large quantity of synthetic drugs, officials said on Friday.
The arrests were carried out on Thursday after police intercepted two vehicles along National Highway-2 under the jurisdiction of Kangpokpi police station during a checking operation.
According to police, security personnel recovered 6.1 kg of Yaba tablets, a highly addictive synthetic narcotic substance, from the vehicles.
The arrested individuals were identified as Md. Zamir Khan (45), Samim (36), police constable Md. Zuma Khan (32), and head constable Md. Hafizuddin (42).
Police also seized the two vehicles used for transportation — a Winger bearing registration number MN-03B-0283 and a Nissan Magnite bearing registration number MN-08A-0877.
In a separate operation conducted on June 11, security forces arrested an active woman cadre of the banned RPF/PLA outfit from Imphal West district.
The arrested cadre was identified as Wahengbam Khumbongmayum Tombi Chanu alias Laijalembi (26), a resident of Heibongpokpi Maning Leikai under Lamsang police station. She was apprehended from her residence.
Meanwhile, on June 10, security forces also arrested an active member of the KCP (Taibanganba) group from Bishnupur district.
The accused, identified as Leimapokpam Lemba Singh alias Chalamba (21) of Nambol Makha Leikai, was apprehended from the Nambol Sabal Leikai area under Nambol police station.
Security forces have continued intensive search operations and area domination exercises in fringe and vulnerable locations across various districts of Manipur.
Officials said a total of 115 naka/checkpoints were set up across hill and valley districts as part of enhanced security arrangements.
ALSO READ: Security to improve with CoBRA deployment in Manipur: Minister Govindas Konthoujam
Authorities also ensured the movement of 201 vehicles carrying essential commodities along National Highway-37. Tight security measures were implemented in vulnerable areas, while security escorts were provided along sensitive stretches to facilitate the safe and uninterrupted movement of vehicles",playwright,"['Bishnupur', 'Kangpokpi']","['Kcp', 'Rpf', 'Pla']",[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-12T21:12:24.813712
2026-06-09T18:59:04.530312,Northeast News,14 Kuki individuals released in Manipur nearly a month after abduction,https://nenews.in/manipur/14-kuki-individuals-released-in-manipur-nearly-a-month-after-abduction/53623/,['abduction'],ne,,"Fourteen Kuki individuals who were abducted in Manipur’s Senapati district nearly a month ago were released on Tuesday following sustained efforts by civil society organizations and community leaders, reports said.
The hostages had been taken captive on May 13 in the aftermath of an ambush in Kangpokpi district that claimed the lives of three church leaders.
Their release was facilitated by the United Naga Council (UNC), the apex body of the Naga community in Manipur, and other civil society organizations based in Senapati district.
According to officials, the release took place at around 3:36 pm following negotiations facilitated by civil society organisations.
The freed individuals were handed over to the chief of Taphou Kuki village in what organisers described as a safe and peaceful transfer. The CSOs stated that all those released were in good condition.
Those released were identified as Thangtinlen Chongloi, Paotinkai Chongloi, Lunsei Chongloi, Kaimang Chongloi, Hengunsei Chongloi, Luntinlal Chongloi, Tonggoulen Chongloi, Sehginlun Chongloi, Sehminhao Chongloi, Paogoulhang Chongloi, Haominlun Kipgen, Lamgoulen Kipgen, Thanglemang Chongloi and Thangminlen Chongloi.
Also Read: Security forces appeal to Manipur villages to keep youths away from violence
UNC president Ng Lorho said the decision to facilitate the release followed appeals from the central and Manipur governments, church organisations and various tribal and civil society bodies.
“In consultation with all stakeholders, the United Naga Council facilitated the safe release of the 14 Kuki hostages and handed them over to the district administration, police and security forces before the public,” he said.
Lorho said the initiative reflected the Naga community’s commitment to humanitarian principles, human rights and established norms of conflict.
He added that the UNC’s intervention was influenced by assurances from both the Union and Manipur governments regarding ongoing efforts to trace six missing Naga individuals and determine their status.",playwright,"['Senapati', 'Kangpokpi']",[],[],[],[],[],Ambush,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T18:59:04.642599
