timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at
2026-06-09T15:54:58.778722,East Mojo,Manipur: One shot dead by suspected armed militants in Kangpokpi,https://eastmojo.com/manipur/2026/06/08/manipur-one-shot-dead-by-suspected-armed-militants-in-kangpokpi/,"['kangpokpi', 'militant']",ne,2026-06-08,"Imphal: The ongoing violence in Manipur claimed another civilian’s life in Kangpokpi’s Pongringlong village on Monday. A civilian identified as Chunjanglung Panmei, 57, was reportedly found dead with bullet wounds, suspected to have been inflicted by Kuki armed miscreants.
According to the Joint Tribes Council, Manipur (JTCM), Panmei, a peace-loving villager of Pongringlong and a member of the village authority Pongringlong -1, went out at dawn simply to gather firewood for his family, not to fight or threaten anyone.
“In return, he was met with bullets. His only crime was being a Naga on his own ancestral land,” stated the JTCM in its condolence message.
In another statement, the Naga Village Guard, Eastern Command (NVG-EC) strongly condemned the heinous crime perpetrated by the Kuki militants against a Naga civilian and warned of befitting retaliation.
The Naga Village Guard-EC stated that in the early hours of Monday, the Kuki militants armed with sophisticated weapons laid an ambush against the Rongmei Naga villagers, who were gathering firewood between Pongringlong and Charoi Pondaijang at around 5 am. While the others managed to flee the spot and return home, Chunjanglung Panmei was found missing. Later, his body riddled with multiple bullets was found in the jungle near the site of the attack. He was reportedly captured and brutally shot dead without any remorse, the statement said.
The Naga Village Guard-EC also noted that recently, Naga villagers of Pongringlong have been repeatedly attacked by Kuki militants backed by cadres under the Suspension of Operations (SoO) pact and narco-terrorists on May 26 and June 5, 2026 respectively.
Meanwhile, Panmei’s mortal remains have reportedly been brought to RIMS Hospital in Imphal for post-mortem.
Also Read | Public outrage grows over alleged sexual assault of minor in Dimapur",playwright,"['Kangpokpi', 'Dimapur']",['Jtcm'],[],[],['Villager'],[],Ambush,"{'killed': ['one dead'], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T15:54:58.882856
2026-06-09T15:55:04.701543,East Mojo,"Thousands rally in Imphal, demand NRC update before census",https://eastmojo.com/manipur/2026/06/08/thousands-rally-in-imphal-demand-nrc-update-before-census/,[],ne,2026-06-08,"Imphal: The demand for the implementation of the National Register of Citizens (NRC) 1951 gathered momentum on Monday as thousands of people from different parts of Manipur assembled in Imphal to stage a mass protest.
The rally was organised by 14 CSOs Kangleipak, a coalition of 14 civil society organisations. Protesters demanded that the NRC 1951 be updated and implemented before the commencement of the census exercise in the state.
Participants raised slogans and displayed placards carrying messages such as “Do not neglect Manipur,” “No NRC Update, No Census,” “NRC is the only solution to save our indigenous people,” “Nominate an agency from Manipur for the High-Power Committee,” and “Update NRC 1951 before the census.”
People from various communities, including Meiteis, Nagas and Meitei Pangals, took part in the rally. Amid tight security arrangements, the procession began from Tiddim Road and later converged at THAU Ground in Imphal West, where a public meeting was held.
Speaking to reporters, 14 CSOs Kangleipak convenor Shanta Nahakpam said the rally was organised to press for NRC implementation in Manipur, a demand that he claimed has been consistently ignored by the Government of India.
“The Government of India, particularly the BJP-led government, has repeatedly highlighted the issue of illegal immigrants during elections in states such as Assam and West Bengal. However, the concerns of Manipur have largely been ignored,” Nahakpam alleged.
He further stated that the Government of India has recently issued a gazette notification constituting a High-Power Committee to study the causes of demographic changes in various states and submit its findings to the Union Ministry of Home Affairs within a year.
According to Nahakpam, Manipur presents a unique case because of its porous international border and the existence of various Suspension of Operations (SoO) agreements and peace arrangements with different armed groups.
“The 2005 SoO agreement with Kuki armed groups, which the people of Manipur have repeatedly urged the government to review or cancel, is one of the reasons why we are demanding a proper NRC process. An updated NRC would pave the way for an accurate delimitation exercise and help safeguard the political and constitutional rights of the indigenous people of the state,” he said.
Nahakpam maintained that if the Government of India continues to ignore the demand for NRC implementation and limits its response to measures such as the proposed High-Power Committee, the state government should nominate a dedicated agency to independently study demographic changes in Manipur.
“Unlike Assam, Meghalaya or West Bengal, the issue in Manipur is not limited to illegal immigration from Bangladesh. It also involves challenges arising from the porous Myanmar border and concerns related to narco-terrorism, which the people have been confronting for years,” he added.
Also Read: How one Mizo activist brought down a Rs 970-crore smuggling empire",playwright,['Imphal West'],['Meitei'],[],[],[],[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-09T15:55:04.837201
2026-06-12T21:11:05.704740,East Mojo,Manipur: Kuki-Zo groups stage coffin protest in Kangpokpi,https://eastmojo.com/manipur/2026/06/12/manipur-kuki-zo-groups-stage-coffin-protest-in-kangpokpi/,"['kangpokpi', 'protest']",ne,2026-06-12,"Hundreds of Kuki-Zo protesters on June 11 placed the coffin of slain villager Haogin Lhouvum along National Highway-2 in Kangpokpi town, demanding justice, greater security deployment and action against those responsible for his killing in neighbouring Tamenglong district.
The protest was organised by the Committee on Tribal Unity (CoTU) and other Kuki civil society organisations amid a district-wide shutdown across Kangpokpi. Protesters staged a sit-in programme beside the highway, where Lhouvum’s coffin remained for several hours.
Lhouvum was killed during an attack on Lasan village in Tamenglong district on June 9. His body was brought from the district hospital morgue to Kangpokpi as mourners and protesters gathered to condemn the incident.
The demonstration coincided with a total shutdown called by Kuki civil society organisations from midnight on June 10. Educational institutions, businesses and vehicular movement remained suspended across the district, while emergency services and security personnel were exempted.
Speaking during the protest, Kuki CSOs Kangpokpi spokesperson Janghaolun Haokip questioned the role of security forces stationed at Makui village, alleging that they failed to prevent the attack despite being located about five kilometres from Lasan village.
Haokip said the attack had raised concerns about the effectiveness of security arrangements in the area and called for greater protection of vulnerable Kuki-Zo settlements.
The organisations accused the government of failing to ensure the safety of Kuki-Zo civilians and alleged that attacks on their community had increased in recent months.
According to the groups, at least 13 Kuki-Zo civilians, including three pastors, have been killed in separate incidents allegedly involving Tangkhul militant groups. They also claimed that 11 Kuki-Zo villages had been set on fire, including Kultuh village in Kamjong district, where two villagers were reportedly killed in an attack early Thursday.
The protesters submitted four demands to the government. These include the immediate deployment of security forces at Lasan and Thenjang villages, security coverage for all vulnerable Kuki-Zo areas, a time-bound judicial inquiry into the killings of 13 Kuki-Zo civilians, and the arrest of the Makui village chief, village authority members and village guards in connection with the incidents.
Haokip said the community would continue democratic forms of protest until concrete steps were taken to address security concerns and bring those responsible for the killings to justice.
The protest ended peacefully, though community leaders warned that further agitation could follow if their demands remain unaddressed.
Also read | NSCN demands GoI declare Kuki groups as terrorist organisations",playwright,"['Kangpokpi', 'Kamjong', 'Tamenglong']","['Cotu', 'Nscn']",[],[],"['Civilian', 'Villager']",[],Civil Unrest,"{'killed': [], 'injured': []}",[],9.5,HIGH,Unrest,2026-06-12T21:11:05.834301
