timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at
2026-06-10T02:25:34.667317,The Sangai Express,Kuki militant killed in gunfight,https://www.thesangaiexpress.com/Encyc/2026/6/10/by-our-staff-reporter-imphal-jun-9-one-suspected-kuki-militant-was-killed-today-in-a-gunfight-between-armed-gr.html,"['gunfight', 'militant']",ne,,"By Our Staff Reporter
IMPHAL, Jun 9 : One suspected Kuki militant was killed today in a gunfight between armed groups near Lasan Kuki village and Makui village, located along the Imphal–Tamenglong (IT) Road under Chalwa police station in Kangpokpi district.
The killing took place even as tension remains high in Kangpokpi district as one Rongmei Naga villager, identified as Chunjanglung Panmei was also killed in a firing incident by Kuki militants yesterday.
According to reliable sources, a clash erupted at Lalloi village today when suspected Kuki militants engaged with unknown armed persons.
During the confrontation, a suspected Kuki militant, identified as Haogin Lhouvum (50), son of Khupkam of Lasan village, was killed on the spot.
Sources added that intermittent firing continued until around 2 pm.
Security forces quickly rushed to the area to bring the situation under control and conducted search operations to apprehend the unknown armed individuals involved, it added.",playwright,"['Tamenglong', 'Kangpokpi']",[],[],['Militant'],['Militant'],[],Gunfight/Encounter,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-10T02:25:34.730469
2026-06-09T15:54:18.347951,The Sangai Express,17 arrested for power theft; power disconnected for 19 LT consumers,https://www.thesangaiexpress.com/Encyc/2024/8/27/JIRIBAM-Aug-27Manipur-State-Power-Distribution-Company-Limited-MSPDCL-officials-have-arrested-17-persons.html,['arrested'],ne,,"17 arrested for power theft; power disconnected for 19 LT consumers
27-Aug-2024
|
JIRIBAM, Aug 27
Manipur State Power Distribution Company Limited (MSPDCL) officials have arrested 17 persons on charges of power theft during raids conducted across the State.
As per a press release issued by Ng Kirankumar Singh, General Manager (Commercial), MSPDCL, three were arrested from Churachandpur division area, two from IED-II division area, three from IED-III area, three from IED-IV division area, three from Thoubal division area and another three from Bishnupur division area.
Additionally, the officials cut off the electricity connection of 19 LT consumers for failure to clear their outstanding electricity bill.",playwright,"['Bishnupur', 'Churachandpur', 'Jiribam', 'Thoubal']",[],[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:54:18.393391
