timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at,ner_state_actors,llm_enhanced
2026-06-03T17:10:55.135648,The Northlines,"At UN, India Says It Has Right To Defend Itself, Warns Pak Of ‘Consequences’ For Cross-Border Terror",https://thenorthlines.com/at-un-india-says-it-has-right-to-defend-itself-warns-pak-of-consequences-for-cross-border-terror/,[],jk,2026-06-03,"United Nations, May 27: India on Wednesday told the United Nations Security Council that it has every right to defend itself against cross-border terrorism and warned Pakistan that there would be “consequences” for sponsoring terror activities.
India’s Permanent Representative to the UN, Harish Parvathaneni, strongly rejected what he termed “baseless and unwarranted remarks” made by Pakistan during a UNSC debate on upholding the UN Charter and strengthening the UN-centred international system.
“I am compelled to respond to baseless and unwarranted remarks made by Pakistan today. India would like to set the facts straight,” Parvathaneni said during the meeting chaired by China under its presidency of the 15-member Security Council for May.
He said independent India began its journey while facing cross-border aggression from Pakistan, which sought territories that had legally and irrevocably acceded to India.
The remarks came after Pakistan Deputy Prime Minister and Foreign Minister Ishaq Dar raised the issue of Jammu and Kashmir and referred to the Indus Waters Treaty, which India suspended following the April 2025 Pahalgam terror attack that killed 26 civilians.
The Resistance Front (TRF), considered a front for Pakistan-based terror outfit Lashkar-e-Taiba (LeT), had claimed responsibility for the attack.
Slamming Pakistan, Parvathaneni said the continued use of cross-border terrorism and the doctrine of “bleeding India by a thousand cuts” exposed Islamabad’s “hollow rhetoric” regarding its commitment to the UN Charter.
“India has every right to defend itself from such cross-border terrorism. Pakistan will have to accept that there are consequences to its sponsorship of cross-border terrorism,” he said.
Parvathaneni further accused Pakistan of violating the principles of sovereignty, territorial integrity and peaceful coexistence by waging wars against India and continuing to sponsor terrorism across the border.
“Pakistan’s harnessing of the malevolent forces of terrorism, religious extremism, violent radicalism and anti-India rhetoric has continued unabated since its creation,” he said, adding that Pakistan must “credibly and irrevocably” end support for all forms of terrorism. (Agencies)",playwright,['Jammu'],"['Let', 'Trf']",[],['Civilian'],[],Border Infiltration,"{'killed': [], 'injured': []}",[],10.0,HIGH,Kinetic,2026-06-09T14:27:35.004587,[],True
2026-06-08T03:13:44.438756,The Northlines,Three injured in LPG cylinder blast in Rajouri hamlet,https://thenorthlines.com/three-injured-in-lpg-cylinder-blast-in-rajouri-hamlet/,['rajouri'],jk,2026-06-08,"Jammu Tawi, Jun 7: Three men sustained critical burn injuries after an LPG cylinder caught fire and exploded in a village in Rajouri district on Saturday, officials said.
The incident occurred in Kha village of Rajouri when an LPG cylinder caught fire and exploded, causing severe burn injuries to three persons present nearby, they said.
The injured were immediately shifted to the Government Medical College (GMC) Associated Hospital, Rajouri, for treatment. However, due to the critical nature of their injuries, all three were later referred to GMC Jammu for specialised medical care, they said.
The injured have been identified as Vikam Singh (32), Rakesh Singh (38), and Shanker Singh (40), all locals.
Police have taken cognisance of the incident, while further details are awaited.",playwright,"['Jammu', 'Rajouri']",[],[],[],[],IED/Explosion,"{'killed': [], 'injured': ['three injured']}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:35.042561,[],True
2026-06-08T03:14:20.273616,The Northlines,"J&K to be freed from scourge of drugs, narco-terrorism: LG",https://thenorthlines.com/jk-to-be-freed-from-scourge-of-drugs-narco-terrorism-lg/,['narco terror'],jk,2026-06-08,"Joins ‘Drug-Free J&K’ campaign, Padyatra in Poonch
Jammu Tawi, Jun 7: Lieutenant Governor, Manoj Sinha today joined the ‘Drug-Free J&K’ Campaign and Padyatra in Poonch.
Speaking on the occasion, the Lieutenant Governor said that Padyatra has covered all 20 districts of Union Territory and the objective is clear to free the soil of Jammu Kashmir from scourge of drugs and to eliminate narco-terrorism. “The fight for a drug-free Jammu Kashmir intensifies today from Poonch. For next 43 days, every citizen, Panchayat, and ward must unite to target drug smugglers, drug peddlers, drive awareness, and accelerate rehabilitation. Collective responsibility will build a healthier future.
During the past 57 days, I have visited every district of Jammu Kashmir and promised the people that the perpetrators harming our society will not go unpunished. Today I assure all the citizens that we will light the lamp of a brighter future,” the Lieutenant Governor said. He stated that in the next 43 days we must launch a massive movement in Poonch and across UT that will be dedicated to making every panchayat, every lane, and every household in the district drug-free.
“The people of Poonch know that, being a border district, narco-terrorists attempt to exploit the geography. Cross-border drug smuggling is destroying young lives and, at the same time, financing terrorism. We must confront this through a whole-of-society approach,” the Lieutenant Governor said.
The Lieutenant Governor said that confronting the drug menace requires a shift from indifference to action. He said ‘not my problem’ mindset only emboldens drug smugglers and drug peddlers, who rely on public silence to expand their networks.
“True change happens when communities stand united. A drug-free society is built by those who choose to speak up and act, recognizing that this is a shared battle affecting us all. A prosperous society requires both economic progress and vigilant citizens. To change mindsets and dismantle supply chains, our past 57-day campaign has cracked down hard on the drug network in J&K. Over 1,130 smugglers arrested under 1,038 FIRs, 63 detained under PIT-NDPS, and more than 100 properties attached. To completely immobilize these criminals, we have also cancelled 700 driving licenses and moved to revoke 130 passports,” the Lieutenant Governor said.
The Lieutenant Governor called for the ‘Drug-Free J&K’ campaign to reach every household and become a permanent part of public consciousness. True prevention, he emphasized, lies in giving youth a purpose through education, skills, sports, and transforming them into the ultimate weapon against drug addiction.
“The strategy relies on two powerful pillars. First, mobilize Youth Clubs to act as the frontline defence against local drug networks, and putting women in leadership positions so mothers and sisters can drive the campaign to make every village drug-free,” the Lieutenant Governor said.
The Lieutenant Governor announced that law enforcemen",playwright,"['Jammu', 'Poonch']",[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T14:27:35.164798,[],True
2026-06-09T15:54:12.436109,The Northlines,"Zojila Tunnel Breakthrough Achieved, All-Weather Kashmir-Ladakh Link Nears Reality",https://thenorthlines.com/zojila-tunnel-breakthrough-achieved-all-weather-kashmir-ladakh-link-nears-reality/,[],jk,2026-06-09,"MINIMARG (Ladakh), June 9: A major milestone was achieved in the construction of the strategically important Zojila Tunnel on Tuesday as engineers successfully completed the final breakthrough, bringing the long-awaited dream of all-weather connectivity between Kashmir and Ladakh a step closer to reality.
Union Minister for Road Transport and Highways Nitin Gadkari triggered the breakthrough blast remotely near the East Portal of the tunnel at Minimarg in Ladakh. Jammu and Kashmir Lieutenant Governor Manoj Sinha and Chief Minister Omar Abdullah were present on the occasion.
Officials of the National Highways & Infrastructure Development Corporation Limited (NHIDCL) said the breakthrough was achieved six months ahead of schedule, marking a significant advancement in one of India’s most ambitious infrastructure projects.
The 13.153-km-long Zojila Tunnel, being constructed on the Srinagar-Leh National Highway, is set to become the world’s longest single-tube bi-directional road tunnel at such a high altitude. The tunnel is expected to be opened to the public by February 2028.
According to project officials, around 85 per cent of the work has already been completed. Following the breakthrough, civil construction is expected to continue for another seven to eight months, after which electrical and other finishing works will commence.
Built at an altitude of approximately 11,578 feet above sea level, the horseshoe-shaped tunnel is 9.5 metres wide and 7.57 metres high. It connects Baltal in Kashmir’s Ganderbal district with Minimarg in Ladakh’s Drass sector and forms part of a 31-km project that includes approach roads and bridges.
Officials said the tunnel will provide year-round connectivity to Ladakh, significantly improving civilian travel and military logistics. It is expected to reduce travel time through the Zojila sector from over an hour to around 15 minutes.
The project is being executed by Megha Engineering and Infrastructure Limited (MEIL) using the New Austrian Tunnelling Method (NATM), which enabled engineers to navigate the challenging Himalayan terrain and fragile geological conditions.
Once operational, the tunnel will ensure uninterrupted connectivity across the Zojila Pass, which remains closed for several months each year due to heavy snowfall, enhancing both regional development and national security. (Agencies)",playwright,"['Srinagar', 'Ganderbal', 'Jammu']",[],[],[],[],IED/Explosion,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:54:12.615982,[],
2026-06-13T00:26:23.701804,The Northlines,Two bodies recovered from vehicle carrying four missing persons in Poonch,https://thenorthlines.com/two-bodies-recovered-from-vehicle-carrying-four-missing-persons-in-poonch/,['poonch'],jk,2026-06-13,"Jammu Tawi, Jun 12 : Two bodies were recovered on Friday after a vehicle carrying four persons, who had gone missing while travelling on the Mughal Road, was traced in a drain near Chhattapani in Poonch district, officials said.
Police said information was received on Thursday that four persons travelling in a vehicle on the Mughal Road had gone missing, following which a large-scale search and rescue operation was launched.
During the operation on Friday, the vehicle was located in a drain near Chhattapani. Rescue teams subsequently retrieved the vehicle and recovered two bodies from the site, officials said.
Search operations are underway to trace the remaining two missing persons. Rescue teams are combing the area and making all efforts to locate them at the earliest, they said.
Police said further details would be shared as the operation progresses.
The Mughal Road, which connects the twin border districts of Poonch and Rajouri with south Kashmir’s Shopian district, passes through mountainous terrain and remains vulnerable to accidents, particularly during adverse weather conditions.",playwright,"['Shopian', 'Poonch', 'Rajouri', 'Jammu']",[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-13T00:26:23.762970,[],
2026-06-13T14:56:19.504705,The Northlines,"EOW Kashmir Raids Dy CMO Shopian’s Office, Residence In DOB Manipulation Case",https://thenorthlines.com/eow-kashmir-raids-dy-cmo-shopians-office-residence-in-dob-manipulation-case/,['shopian'],jk,2026-06-13,"SRINAGAR, June 13: The Economic Offences Wing (EOW) Kashmir of the Crime Branch J&K on Friday conducted searches at the office and residence of the Deputy Chief Medical Officer (DCMO), Shopian, in connection with an alleged date-of-birth manipulation case aimed at securing undue service benefits.
The searches were carried out in Shopian and Pulwama districts following the registration of an FIR under relevant provisions of law pertaining to the alleged fraudulent insertion and alteration of date-of-birth entries in official service records, officials said.
As part of the investigation, EOW teams searched the DCMO’s office in Shopian and his residence in the Thamuna area of Pulwama district. The operation was conducted in accordance with legal procedures and in the presence of independent witnesses.
Officials said documents and other materials recovered during the searches are being examined to determine the extent of the alleged irregularities and identify those involved.
Meanwhile, the Crime Branch urged the public to remain vigilant against economic offences and report cases of fraud to the Senior Superintendent of Police, EOW Kashmir.
The agency said victims of economic fraud can also lodge complaints through its official email channel.
Further investigation into the case is underway. (KNC)",playwright,"['Shopian', 'Srinagar', 'Pulwama']",[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-13T14:56:19.573901,[],
