timestamp,source,title,url,matched_keywords,region,published_date,content,source_type,ner_locations,ner_actors,ner_state_actors,perpetrator,victim_target,claimed_by,granular_incident_type,casualties_killed,casualties_injured,final_risk_score,final_risk_level,incident_type,classified_at
2026-06-09T15:54:35.895242,The Kashmir Monitor,"1,130 Drug Smugglers Arrested,No Mercy for Narco-Terrorists: LG Sinha",https://www.thekashmirmonitor.net/1130-drug-smugglers-arrestedno-mercy-for-narco-terrorists-lg-sinha/,"['narco terror', 'terrorist', 'arrested']",jk,,"Poonch: Sending a strong message against drug trafficking and narco-terrorism, Lieutenant Governor Manoj Sinha on Sunday declared that Jammu and Kashmir is entering a decisive phase in its fight against the drug menace, asserting that there will be “no safe haven” for drug smugglers, peddlers and narco-terrorists.
Joining the ‘Drug-Free J&K’ campaign and padyatra in Poonch, the Lieutenant Governor said the movement has now reached all 20 districts of the Union Territory and will intensify over the next 43 days with the aim of making every village, lane and household drug-free.
LG Sinha, joined the ‘Drug-Free J&K’ Campaign and Padyatra in Poonch. Speaking on the occasion, the Lieutenant Governor said that Padyatra has covered all 20 districts of Union Territory and the objective is clear to free the soil of Jammu Kashmir from scourge of drugs and to eliminate narco-terrorism.
“The fight for a drug-free Jammu Kashmir intensifies today from Poonch. For next 43 days, every citizen, Panchayat, and ward must unite to target drug smugglers, drug peddlers, drive awareness, and accelerate rehabilitation. Collective responsibility will build a healthier future.
During the past 57 days, I have visited every district of Jammu Kashmir and promised the people that the perpetrators harming our society will not go unpunished. Today I assure all the citizens that we will light the lamp of a brighter future,” the Lieutenant Governor said.
He stated that in the next 43 days we must launch a massive movement in Poonch and across UT that will be dedicated to making every panchayat, every lane, and every household in the district drug-free.
“The people of Poonch know that, being a border district, narco-terrorists attempt to exploit the geography. Cross-border drug smuggling is destroying young lives and, at the same time, financing terrorism. We must confront this through a whole-of-society approach,” the Lieutenant Governor said.
The Lieutenant Governor said that confronting the drug menace requires a shift from indifference to action. He said ‘not my problem’ mindset only emboldens drug smugglers and drug peddlers, who rely on public silence to expand their networks.
“True change happens when communities stand united. A drug-free society is built by those who choose to speak up and act, recognizing that this is a shared battle affecting us all. A prosperous society requires both economic progress and vigilant citizens. To change mindsets and dismantle supply chains, our past 57-day campaign has cracked down hard on the drug network in J&K. Over 1,130 smugglers arrested under 1,038 FIRs, 63 detained under PIT-NDPS, and more than 100 properties attached. To completely immobilize these criminals, we have also cancelled 700 driving licenses and moved to revoke 130 passports,” the Lieutenant Governor said.
The Lieutenant Governor called for the ‘Drug-Free J&K’ campaign to reach every household and become a permanent part of public consciousness. True prevention, he emph",playwright,"['Poonch', 'Jammu']",[],[],[],[],[],Border Infiltration,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:54:36.029013
2026-06-09T15:55:20.794976,The Kashmir Monitor,Drug crackdown hitting terror funding: LG Sinha,https://www.thekashmirmonitor.net/drug-crackdown-hitting-terror-funding-lg-sinha/,['terror funding'],jk,,"SRINAGAR: The Lieutenant Governor Manoj Sinha today led ‘Drug-Free J&K Padyatra’ in Kulgam and addressed a public meeting. The Lieutenant Governor said that this people’s movement has connected every heart across Jammu Kashmir with a shared purpose to make their village, their town drug-free.
“This campaign belongs to the people. Parents, teachers, religious leaders and young volunteers have stood shoulder to shoulder with the administration. The road ahead is long. The fight against drugs will take sustained effort, constant alertness and unity. We must remain steadfast. We must encourage our young people, protect our families and strengthen our communities,” the Lieutenant Governor said.
The Lieutenant Governor observed that 51-days ago people of Jammu Kashmir kindled a spark of change and with massive participation of the people that spark in Jammu Kashmir has become a fierce flame of hope, courage and resolve.
“This campaign is striking directly at the financial backbone of terrorism. Every rupee spent on drugs fuels extremist violence, and narco-terrorists survive on that blood money. By halting the drug trade, we cut off the lifeline that sustains terror networks.
I want people of Jammu Kashmir to remember that this is not only a public-health struggle, but also a fight for national security. When we choke off drug smuggling, we weaken those who seek to destabilize our nation, spill the blood of innocent people of J&K, and divert our youth from the path of progress,” he said.
The Lieutenant Governor in his address highlighted that for many years Jammu Kashmir endured attacks on the society by narco-terrorists. Under the leadership of Prime Minister Narendra Modi and the guidance of Home Minister Amit Shah, Nasha-Mukt Bharat Initiative launched in 2020 marked the turning point.
“I stand before you not only as your Lieutenant Governor but as a member of your family who shares your pain, your struggles, and your dream of a safe, empowered and drug-free Jammu Kashmir. In 2021, I pledged a fear-free and drug-free Jammu Kashmir so that the shadows of drugs and terror that once loomed over our youth can be banished entirely. I can say with confidence today that the chains that once trapped our youth in the dark web of drugs are breaking apart, link by link, day by day. Over the past 51 days we have carried out extensive, coordinated operations against narco-terrorists and drug traffickers. With a whole-of-government approach we are dismantling networks that had become entrenched. Raids have targeted drug smugglers and drug peddlers in villages and towns, supply chains have been broken, and narco-terrorists have been exposed,” the Lieutenant Governor said.
It is pertinent to mention that 923 FIRs have been registered against drug traffickers in the last 51 days. More than 1,000 drug smugglers and peddlers have been arrested, over 55 traffickers have been detained under PIT-NDPS provisions, 668 driving licenses have been cancelled, and recommendatio",playwright,"['Srinagar', 'Kulgam', 'Jammu']",[],[],[],[],[],Search Operation,"{'killed': [], 'injured': []}",[],8.0,HIGH,Kinetic,2026-06-09T15:55:20.968518
