timestamp,published_date,source,title,url,final_risk_score,incident_type,granular_incident_type,Render_Perp,Render_Target,Render_Casualties,region,source_type
2026-06-13T00:50:57.763925,2026-06-12,Rising Kashmir,Bullets for Bread: The Crackdown Across the Line of Control That the World Refuses to See,https://risingkashmir.com/viewpoint/bullets-for-bread-the-hidden-crackdown-across-the-loc-12032523,7.5,Unrest,Civil Unrest,,"Srinagar, Jammu",,jk,rss
2026-06-13T05:38:33.817774,2026-06-12,Greater Kashmir,J&K Government orders enquiry into death of patient at GMC Rajouri,https://www.greaterkashmir.com/pir-panjal/jk-government-orders-enquiry-into-death-of-patient-at-gmc-rajouri-12032726,7.5,Unrest,Civil Unrest,,"Udhampur, Rajouri, Jammu",,jk,rss
2026-06-13T12:13:56.116290,2026-06-13,The Assam Tribune,"Hojai police rescue minor after week, detain suspect in kidnapping case",https://assamtribune.com/assam/hojai-police-rescue-minor-after-week-detain-suspect-in-kidnapping-case-1612685,8.0,Kinetic,Search Operation,,Hojai,,ne,rss
2026-06-13T12:34:40.582736,2026-06-12,Kashmir Life,Three Minor Girls Reported Missing in South Kashmir; Search Underway,https://kashmirlife.net/three-minor-girls-reported-missing-in-south-kashmir-search-underway-439951/,8.0,Kinetic,Search Operation,,"Anantnag, Srinagar",,jk,playwright
2026-06-13T12:56:02.239823,,India Today NE,"Assam Rifles, police recover huge cache of arms and military stores in Manipur's Kakching",https://www.indiatodayne.in/manipur/story/assam-rifles-police-recover-huge-cache-of-arms-and-military-stores-in-manipurs-kakching-1407388-2026-06-13,10.0,Kinetic,IED/Explosion,Kcp,"Kakching, Thoubal",,ne,playwright
2026-06-13T12:56:08.676354,,India Today NE,Live 1962 war-era mortar defused by Indian Army in Arunachal's Tawang,https://www.indiatodayne.in/arunachal-pradesh/story/live-1962-war-era-mortar-defused-by-indian-army-in-arunachals-tawang-1407385-2026-06-13,8.0,Kinetic,IED/Explosion,,Tawang,,ne,playwright
2026-06-13T12:56:28.862754,,Northeast News,Indian Army defuses 1962 war-era live mortar in Arunachal Pradesh’s Tawang,https://nenews.in/arunachal-pradesh/54017/54017/,8.0,Kinetic,IED/Explosion,,"Tawang, Itanagar",,ne,playwright
2026-06-13T14:49:47.769028,2026-06-13,Greater Kashmir,"Three missing minor girls traced within hours in Anantnag, all safe: Police",https://www.greaterkashmir.com/kashmir/three-missing-minor-girls-traced-within-hours-in-anantnag-all-safe-police-12033902,8.0,Kinetic,Search Operation,,"Anantnag, Srinagar",,jk,rss
2026-06-13T14:49:48.240993,2026-06-13,Greater Kashmir,Three minor girls reported missing from Anantnag's Brakpora area,https://www.greaterkashmir.com/kashmir/three-minor-girls-reported-missing-from-anantnags-brakpora-area-12033600,8.0,Kinetic,Search Operation,,Anantnag,,jk,rss
2026-06-13T14:49:53.758798,2026-06-13,The Assam Tribune,IAF transport aircraft reportedly crashes at Jorhat air base; pilot feared dead,https://assamtribune.com/assam/iaf-transport-aircraft-reportedly-crashes-at-jorhat-air-base-pilot-feared-dead-1612687,8.0,Kinetic,Search Operation,,Jorhat,Killed: one dead,ne,rss
2026-06-13T14:53:37.386323,2026-06-13,Kashmir Observer,"DOB Manipulation Case: EOW Raids Dy CMO Shopian Office, Residence",https://kashmirobserver.net/2026/06/13/dob-manipulation-case-eow-raids-dy-cmo-shopian-office-residence/,8.0,Kinetic,Search Operation,,"Shopian, Pulwama",,jk,playwright
2026-06-13T14:54:24.016495,2026-06-13,Kashmir Life,South Kashmir: Police Trace All Three Missing Minor Girls,https://kashmirlife.net/south-kashmir-police-trace-all-three-missing-minor-girls-439969/,8.0,Kinetic,Search Operation,,"Anantnag, Srinagar",,jk,playwright
2026-06-13T14:55:19.828100,2026-06-13,Top News J&K,South Kashmir: Police Trace All Three Missing Minor Girls,https://topnewsjk.in/kashmir/south-kashmir-police-trace-all-three-missing-minor-girls/,8.0,Kinetic,Search Operation,,"Anantnag, Srinagar",,jk,playwright
2026-06-13T14:56:19.504705,2026-06-13,The Northlines,"EOW Kashmir Raids Dy CMO Shopian’s Office, Residence In DOB Manipulation Case",https://thenorthlines.com/eow-kashmir-raids-dy-cmo-shopians-office-residence-in-dob-manipulation-case/,8.0,Kinetic,Search Operation,,"Shopian, Srinagar, Pulwama",,jk,playwright
2026-06-13T14:59:22.128189,2026-06-13,The Shillong Times,IAF AN-32 bursts into flames after landing in Assam’s Jorhat,https://theshillongtimes.com/2026/06/13/iaf-an-32-bursts-into-flames-after-landing-in-assams-jorhat/,8.0,Kinetic,Search Operation,,Jorhat,,ne,playwright
2026-06-13T15:00:04.855791,2026-06-13,NorthEast Now,Arunachal: Indian Army defuses 1962 war-era mortar shell in Tawang,https://nenow.in/north-east-news/arunachal-pradesh/arunachal-indian-army-defuses-1962-war-era-mortar-shell-in-tawang.html,8.0,Kinetic,IED/Explosion,,Tawang,,ne,playwright
2026-06-13T15:00:35.585571,,India Today NE,Assam CM claims Arya Nagar controversy highlighted to divert attention from Nalbari encounter case and Goalpara beef row,https://www.indiatodayne.in/assam/story/assam-cm-claims-arya-nagar-controversy-highlighted-to-divert-attention-from-nalbari-encounter-case-and-goalpara-beef-row-1407408-2026-06-13,8.0,Kinetic,Gunfight/Encounter,,"Nalbari, Goalpara",,ne,playwright
2026-06-13T17:29:15.381069,2026-06-13,Kashmir Life,South Kashmir: Police Trace All Three Missing Minor Girls,https://kashmirlife.net/south-kashmir-police-trace-all-three-missing-minor-girls-439969/,8.0,Kinetic,Search Operation,,"Srinagar, Anantnag",,jk,playwright
